"Dates","DIS","BABA","JNJ","FB"
"2016-01-07",95.019829,72.720001,91.565598,97.919998
"2016-01-08",94.78109,70.800003,90.587379,97.330002
"2016-01-11",95.420921,69.919998,90.042885,97.510002
"2016-01-12",96.891579,72.68,90.661209,99.370003
"2016-01-13",94.045761,70.290001,89.535309,95.440002
"2016-01-14",94.6474,72.25,91.261055,98.370003
"2016-01-15",89.671982,69.589996,89.516861,94.970001
"2016-01-19",89.738831,70.129997,89.978302,95.260002
"2016-01-20",88.373215,68.709999,88.363289,94.349998
"2016-01-21",89.786575,70.720001,88.538643,94.160004
"2016-01-22",92.536896,70.370003,89.286148,97.940002
"2016-01-25",90.999397,69.720001,88.963142,97.010002
"2016-01-26",91.935265,69.769997,93.374405,97.339996
"2016-01-27",90.073067,69.540001,94.278801,94.449997
"2016-01-28",89.318642,66.919998,94.380295,109.110001
"2016-01-29",91.505531,67.029999,96.382904,112.209999
"2016-02-01",90.865692,67.029999,96.318298,115.089996
"2016-02-02",88.927101,65.089996,95.432365,114.610001
"2016-02-03",90.85614,63.439999,96.106033,112.690002
"2016-02-04",91.133087,64.860001,95.884567,110.489998
"2016-02-05",89.671982,62.639999,92.783768,104.07
"2016-02-08",87.97213,61.099998,94.131142,99.75
"2016-02-09",88.163124,61.389999,94.103462,99.540001
"2016-02-10",84.849373,61.779999,93.881966,101
"2016-02-11",86.243629,60.57,93.854279,101.910004
"2016-02-12",87.045807,60.889999,93.965012,102.010002
"2016-02-16",88.72657,66.290001,94.426445,101.610001
"2016-02-17",91.199936,66.379997,94.59256,105.199997
"2016-02-18",90.884789,66.519997,96.198326,103.470001
"2016-02-19",90.73201,67.279999,96.821129,104.57
"2016-02-22",92.030769,68.839996,97.369553,107.160004
"2016-02-23",91.08535,66.970001,96.746765,105.459999
"2016-02-24",91.133087,67.230003,97.564758,106.879997
"2016-02-25",91.343185,66.660004,98.884712,108.07
"2016-02-26",91.018494,66.910004,98.326996,107.919998
"2016-02-29",91.219032,68.809998,97.797142,106.919998
"2016-03-01",93.253136,70.860001,99.665535,109.82
"2016-03-02",92.632408,71.25,99.498207,109.949997
"2016-03-03",94.370453,71.019997,99.135689,109.580002
"2016-03-04",94.045761,72.220001,98.996262,108.389999
"2016-03-07",94.914787,72.889999,99.219337,105.730003
"2016-03-08",93.415482,71.07,98.736,105.93
"2016-03-09",93.26268,72.43,99.312279,107.510002
"2016-03-10",92.670601,71.970001,99.591164,107.32
"2016-03-11",93.530075,74.010002,100.12101,109.410004
"2016-03-14",94.360893,73.349998,100.074547,109.889999
"2016-03-15",93.816566,72.230003,100.167473,110.669998
"2016-03-16",94.007561,73.5,99.84214,112.18
"2016-03-17",95.115341,74.25,99.219337,111.019997
"2016-03-18",94.733337,76.25,99.925789,111.449997
"2016-03-21",94.026657,78.110001,99.721298,111.849998
"2016-03-22",93.186287,78.18,99.81424,112.25
"2016-03-23",92.470055,76.559998,100.855331,112.540001
"2016-03-24",92.842499,75.860001,100.678726,113.050003
"2016-03-28",93.673309,76.480003,100.60437,113.690002
"2016-03-29",93.740166,78.080002,101.450249,116.139999
"2016-03-30",94.45639,78.860001,101.301514,114.699997
"2016-03-31",94.838394,79.029999,100.576477,114.099998
"2016-04-01",94.609192,78.730003,101.496727,116.059998
"2016-04-04",94.236755,79.080002,100.938988,112.550003
"2016-04-05",92.632408,77.32,101.273621,112.220001
"2016-04-06",93.090797,78.68,101.710526,113.709999
"2016-04-07",91.830223,77.610001,101.571075,113.639999
"2016-04-08",92.078514,77.470001,101.413063,110.629997
"2016-04-11",91.935265,77.709999,101.292236,108.989998
"2016-04-12",92.966644,77.860001,101.877831,110.610001
"2016-04-13",95.000725,79.639999,102.128822,110.510002
"2016-04-14",94.188995,79.610001,102.100922,110.839996
"2016-04-15",94.150803,78.970001,102.416962,109.639999
"2016-04-18",96.910683,79.010002,103.114113,110.449997
"2016-04-19",98.01844,79.459999,104.740829,112.290001
"2016-04-20",98.620079,81.209999,105.577423,112.419998
"2016-04-21",98.276299,80.779999,105.568123,113.440002
"2016-04-22",99.097565,79.889999,105.335724,110.559998
"2016-04-25",99.861557,78.839996,105.512344,110.099998
"2016-04-26",100.167137,78.610001,104.954628,108.760002
"2016-04-27",100.539581,77.650002,104.824478,108.889999
"2016-04-28",99.345856,76.400002,104.554924,116.730003
"2016-04-29",98.610527,76.940002,104.183098,117.580002
"2016-05-02",99.661011,76.610001,104.805901,118.57
"2016-05-03",99.107109,75.910004,104.75013,117.43
"2016-05-04",99.002075,75.82,104.313232,118.059998
"2016-05-05",100.205338,78.830002,104.926735,117.809998
"2016-05-06",100.787865,79.199997,104.7966,119.489998
"2016-05-09",100.596878,79.410004,105.70755,119.239998
"2016-05-10",101.80014,79.720001,106.590607,120.5
"2016-05-11",97.684204,79.800003,106.31176,119.519997
"2016-05-12",97.130325,79.160004,106.181625,120.279999
"2016-05-13",95.993896,77.160004,105.558815,119.809998
"2016-05-16",95.841103,79.290001,106.376831,118.669998
"2016-05-17",95.440025,79.349998,105.809792,117.349998
"2016-05-18",94.542343,79.029999,105.586708,117.650002
"2016-05-19",93.97892,78.32,104.898849,116.809998
"2016-05-20",95.287216,78.790001,105.451202,117.349998
"2016-05-23",94.714249,79,105.001839,115.970001
"2016-05-24",95.029381,81.120003,105.498016,117.699997
"2016-05-25",95.363632,75.589996,106.115868,117.889999
"2016-05-26",95.315872,78.349998,105.694603,119.470001
"2016-05-27",95.774269,80.970001,105.844398,119.379997
"2016-05-31",94.752434,82,105.498016,118.809998
